trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.991}",20,0,-88.81743099765673,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.982}",20,0,-28.85202507780582,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.973}",20,0,-158.55206266917344,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.964}",20,0,-137.42258477988923,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.955}",20,0,-43.9559076096905,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.946}",20,0,-251.97836444764437,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9369999999999999}",20,0,-81.08636989057821,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,-141.67886978715325,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9189999999999999}",25,7,-85.76073335260901,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-74.18374772096233,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9009999999999999}",25,0,-132.46730057652687,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8919999999999999}",25,0,-163.9388673170046,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8829999999999999}",20,0,-47.34140705628638,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8739999999999999}",20,0,-39.658452901381125,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-143.95868044060416,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,1,-178.9911665635984,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.8469999999999999}",20,0,-53.98889287154556,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8379999999999999}",25,0,-129.35388790074504,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8289999999999998}",20,0,-69.73792442113175,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-121.36989028835727,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8109999999999998}",20,0,-56.92477253288811,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8019999999999998}",25,0,-226.52999972677077,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.7929999999999998}",20,0,-98.564563116907,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7839999999999998}",20,0,-91.00089406900584,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-195.4891063055676,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7659999999999998}",35,0,-246.51883671866435,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 5}",0
27,False,"{'a': 0.5, 'e': 0.7569999999999998}",20,0,-153.43176730047452,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.7479999999999998}",25,0,-59.646031123764324,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7389999999999998}",25,0,-104.3220200697974,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-53.08137446937858,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7209999999999998}",30,20,9.08025877196879,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7119999999999997}",20,0,4.809171114108922,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7029999999999997}",30,0,-76.20852194202398,"{0: 23, 1: 0, 2: 4, 3: 3, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6939999999999997}",20,0,-12.358389691672958,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-54.282725684206994,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6759999999999997}",25,0,-51.58083924600208,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6669999999999997}",30,0,-44.6938335580871,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6579999999999997}",20,0,-7.383681983684255,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6489999999999997}",35,1,-101.83812356308071,"{0: 27, 1: 2, 2: 1, 3: 2, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-22.772627188675628,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6309999999999997}",20,0,-76.11974896267515,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6219999999999997}",30,13,-64.61316923573091,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.6129999999999997}",25,9,-25.795465808380275,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.6039999999999996}",20,0,-39.857810738687476,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-42.595295241578846,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5859999999999996}",25,1,-27.736309784313864,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.5769999999999996}",25,0,-133.89565999620447,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.5679999999999996}",25,12,-31.17272916012336,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5589999999999996}",35,0,-43.30756820756456,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-131.97818983017416,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.5409999999999996}",20,9,4.962145556251648,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5319999999999996}",25,2,-178.2439309485208,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 4}",1
53,False,"{'a': 0.5, 'e': 0.5229999999999996}",25,0,-122.7435104812622,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5139999999999996}",20,0,-23.577974349041384,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5049999999999996}",30,1,-49.33382777123747,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.49599999999999955}",20,13,0.12021165182412896,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.48699999999999954}",25,10,4.420508734756689,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.47799999999999954}",30,0,-67.65165286337854,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.46899999999999953}",20,0,-90.38539759413922,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-64.75098510084557,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.4509999999999995}",20,0,-3.315558406474582,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.4419999999999995}",20,0,-66.29232342113556,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.4329999999999995}",35,0,-56.139830267814474,"{0: 27, 1: 4, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.4239999999999995}",25,9,12.584916905581718,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,14,7.271199432924404,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.4059999999999995}",35,21,-9.709492949307698,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.39699999999999946}",25,13,-14.029871158605438,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.38799999999999946}",20,1,-1.4912114064380175,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.37899999999999945}",20,13,-23.35422077084655,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,16.765258828215124,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.36099999999999943}",20,13,-9.506124716780484,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.3519999999999994}",20,14,9.875585894160343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.3429999999999994}",25,17,15.22283703597458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.3339999999999994}",25,7,-24.07022081974655,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,12,16.214822907101205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.3159999999999994}",25,6,-39.77585991540739,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.3069999999999994}",30,14,3.6819941015973137,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2979999999999994}",25,5,22.237481469666122,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.28899999999999937}",20,10,12.207507469012354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,12,-4.616954646417787,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.27099999999999935}",20,0,-35.972622447718386,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.26199999999999934}",20,0,-50.76063133440663,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.25299999999999934}",20,9,6.725237870247076,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.24399999999999933}",20,14,11.568600762385081,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,13,-13.665914796708147,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.2259999999999993}",20,0,-5.89318269651085,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.2169999999999993}",35,8,-45.73018142233703,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.2079999999999993}",20,3,15.111522898417284,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.1989999999999993}",25,0,10.490999227061227,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,10,19.82980576120274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.18099999999999927}",20,13,13.000183820776309,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.17199999999999926}",20,11,5.309351124068893,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.16299999999999926}",25,13,20.779314971894923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.15399999999999925}",25,15,-2.920669550979241,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,18,15.432757762266705,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
