trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-160.1937913231342,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.32213174882362,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.88425885760742,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.15281304852074,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.148327242178514,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.95539608274393,"{0: 8, 1: 0, 2: 9, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.13351160964277,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.644264875181307,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.217149324526,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.4308363416362,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.43245023635671,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.584395169756455,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.86722158690006,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.18273803042828,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.55337454674304,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.41079239176808,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.93867374377902,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.11140179549733,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.19452200376116,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,8,-107.40072116877107,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.93292002573124,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-171.666338682978,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.5566037740874,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.7527414720666,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.75302717048766,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-274.7053032257341,"{0: 6, 1: 2, 2: 5, 3: 3, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-65.69305836132668,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.38879581075273,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.64612288251178,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.19708364353357,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
